,0
604,165424.03
605,109816.39
606,166182.77
607,165424.03
608,156904.94
609,165108.8
610,156904.94
611,165108.8
612,121067.8
613,122635.766
614,156904.94
615,130494.234
616,130494.234
617,165424.03
618,130494.234
619,138155.3
620,166182.77
621,165424.03
622,183259.94
623,106379.055
624,156282.55
625,121067.8
626,156904.94
627,130494.234
628,104653.65
629,156904.94
630,165108.8
631,122635.766
632,106379.055
633,114442.69
634,174483.39
635,12043.189
636,174483.39
637,121067.8
638,156904.94
639,174483.39
640,95920.01
641,156904.94
642,58092.355
643,183259.94
644,151655.44
645,123108.695
646,40122.008
647,122049.45
648,156904.94
649,103942.15
650,58824.156
651,156904.94
652,17122.408
653,144162.84
654,152536.1
655,174483.39
656,138155.3
657,156282.55
658,72125.07
659,183259.94
660,114674.695
661,203562.84
662,152536.1
663,122635.766
664,165424.03
665,180281.97
666,149379.25
667,166182.77
668,121067.8
669,165108.8
670,65389.348
671,40473.992
672,82526.555
673,174483.39
674,76127.016
675,61247.227
676,156904.94
677,138155.3
678,151655.44
679,121787.09
680,84221.38
681,156282.55
682,136339.42
683,126838.46
684,49403.5
685,165108.8
686,156282.55
687,66918.8
688,154772.47
689,150562.0
690,138155.3
691,96898.71
692,156904.94
693,156920.03
694,183259.94
695,166182.77
696,156904.94
697,183259.94
698,144162.84
699,156904.94
700,126882.96
701,156904.94
702,140473.2
703,123651.83
704,151655.44
705,166182.77
706,70189.59
707,114674.695
708,73277.05
709,138155.3
710,70068.42
711,123108.695
712,52008.695
713,114674.695
714,64025.258
715,121787.09
716,165108.8
717,96898.71
718,156904.94
719,122635.766
720,104653.65
721,136339.42
722,170151.39
723,165424.03
724,114674.695
725,166182.77
726,183259.94
727,166182.77
728,68495.26
729,166182.77
730,167738.5
731,71616.19
732,151655.44
733,183259.94
734,122635.766
735,122635.766
736,94026.16
737,174483.39
738,166182.77
739,62121.195
740,149379.25
741,127127.414
742,70189.59
743,84981.734
744,130494.234
745,165108.8
746,121787.09
747,156904.94
748,62081.164
749,156904.94
750,123108.695
751,53160.137
752,183259.94
753,121067.8
754,183259.94
755,151655.44
756,165424.03
757,63933.926
758,116885.9
759,156904.94
760,114674.695
761,165424.03
762,151655.44
763,183259.94
764,156904.94
765,183259.94
766,114195.016
767,132250.98
768,84981.734
769,103942.15
770,166182.77
771,165108.8
772,114674.695
773,170398.19
774,174483.39
775,174483.39
776,131275.28
777,48531.473
778,121787.09
779,156904.94
780,183259.94
781,176669.69
782,156904.94
783,135033.44
784,135033.44
785,165424.03
786,118551.24
787,180281.97
788,72125.07
789,156282.55
790,114195.016
791,166182.77
792,156282.55
793,169121.61
794,165424.03
795,48569.01
796,156904.94
797,48569.01
798,121787.09
799,80957.33
800,137445.36
801,174483.39
802,51789.156
803,165424.03
804,167180.31
805,70189.59
806,156904.94
807,97688.25
808,174483.39
809,154768.45
810,52798.055
811,156904.94
812,165108.8
813,183259.94
814,73194.5
815,77844.91
816,149379.25
817,121787.09
818,51947.723
819,122635.766
820,183259.94
821,183259.94
822,203562.84
823,52798.055
824,156904.94
825,138155.3
826,122049.45
